Sno	Plant name	Plant Part	Plant Subpart	Therapeutic use	UMLS identifier	MeSH identifier	ICD11 identifier	Reference
1	Tinospora cordifolia	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2013.831568
2	Chromolaena odorata	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2013.831571
3	Syzygium aromaticum	stem	bud	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2014.884779
4	Syzygium aromaticum	stem	bud	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2014.884779
5	Syzygium caryophyllatum	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2014.895198
6	Syzygium caryophyllatum	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2014.895198
7	Ayapana triplinervis	leaf	leaf	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2014.914000
8	Ayapana triplinervis	stem	stem	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2014.914000
9	Thymus serpyllum	whole plant	herb	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2014.935071
10	Thymus serpyllum	whole plant	herb	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/0972060X.2014.935071
11	Thymus linearis	whole plant	herb	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2014.935071
12	Thymus linearis	whole plant	herb	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/0972060X.2014.935071
13	Cuminum cyminum	seed	seed	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2014.956675
14	Foeniculum vulgare	seed	seed	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2014.956675
15	Olax acuminata	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2014.956807
16	Curcuma aromatica	leaf	leaf	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/0972-060X.2004.10643404
17	Syzygium grande	leaf	leaf	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2014.958572
18	Artemisia nilagirica	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2014.960267
19	Corymbia citriodora	leaf	leaf	Cytotoxin	C0010868	D003603		https://doi.org/10.1080/0972060X.2015.1004119
20	Corymbia citriodora	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2015.1004119
21	Corymbia citriodora	leaf	leaf	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/0972060X.2015.1004119
22	Salvia officinalis	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2016.1211491
23	Betula utilis	bark	bark	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2015.1036569
24	Clausena indica	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2011.10644003
25	Justicia adhatoda	leaf	leaf	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2016.1260061
26	Leucas decemdentata	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2016.1262791
27	Alpinia haenkei	rhizome	rhizome	Anti-Inflammatory Agents	C0003209	D000893		https://doi.org/10.1080/0972060X.2017.1374216
28	Alpinia haenkei	rhizome	rhizome	Antipyretics	C0003419	D058633		https://doi.org/10.1080/0972060X.2017.1374216
29	Alpinia haenkei	rhizome	rhizome	Analgesics		D000700		https://doi.org/10.1080/0972060X.2017.1374216
30	Alpinia nigra	rhizome	rhizome	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2017.1410452
31	Alpinia nigra	rhizome	rhizome	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2017.1410452
32	Combretum albidum	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2017.1409659
33	Litchi chinensis	fruit	fruit	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2017.1417061
34	Zingiber officinale	rhizome	rhizome	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2017.1417747
35	Trachyspermum ammi	seed	seed	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/0972060X.2008.10643607
36	Trachyspermum ammi	seed	seed	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2008.10643607
37	Artemisia vulgaris	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2019.1602083
38	Artemisia vulgaris	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2019.1602083
39	Hyptis suaveolens	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2008.10643644
40	Aegle marmelos	leaf	leaf	Anticancer agents			XM9F82	https://doi.org/10.1080/0972060X.2019.1653796
41	Aegle marmelos	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2019.1653796
42	Zanthoxylum armatum	bark	stem bark	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2019.1630015
43	Zanthoxylum armatum	bark	stem bark	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2019.1630015
44	Zanthoxylum armatum	bark	stem bark	Anti-Inflammatory Agents	C0003209	D000893		https://doi.org/10.1080/0972060X.2019.1630015
45	Alpinia nigra	rhizome	rhizome	Anticancer agents			XM9F82	https://doi.org/10.1080/0972060X.2018.1524795
46	Alpinia nigra	leaf	leaf	immunostimulant				https://doi.org/10.1080/0972060X.2018.1524795
47	Selinum vaginatum	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2018.1543030
48	Selinum vaginatum	root	root	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2018.1543030
49	Foeniculum vulgare	seed	seed	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2008.10643683
50	Foeniculum vulgare	seed	seed	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/0972060X.2008.10643683
51	Hedychium coronarium	rhizome	rhizome	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2010.10643819
52	Hedychium spicatum	rhizome	rhizome	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2010.10643819
53	Valeriana jatamansi	whole plant	whole plant	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2011.10643596
54	Valeriana jatamansi	whole plant	whole plant	Anti-Inflammatory Agents	C0003209	D000893		https://doi.org/10.1080/0972060X.2011.10643596
55	Curcuma haritha	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2011.10643920
56	Curcuma haritha	leaf	leaf	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/0972060X.2011.10643920
57	Cinnamomum tamala	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2012.10644123
58	Cymbopogon flexuosus	flower	inflorescence	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/0972-060X.2004.10643370
59	Tagetes erecta	flower	flower	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2013.794003
60	Plectranthus ovatus	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2013.794025
61	Plectranthus ovatus	aerial part	aerial part	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/0972060X.2013.794025
62	Cymbopogon distans	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/10412905.2017.1375035
63	Cymbopogon distans	aerial part	aerial part	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/10412905.2017.1375035
64	Litsea cubeba	fruit	fruit	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/10412905.2013.775081
65	Globba sessiliflora	rhizome	rhizome	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/10412905.2012.692915
66	Globba sessiliflora	rhizome	rhizome	myorelaxant activity				https://doi.org/10.1080/10412905.2012.692915
67	Skimmia anquetilia	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/10412905.2012.646034
68	Skimmia anquetilia	flower	flower	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/10412905.2012.646034
69	Homalomena aromatica	rhizome	rhizome	Antifungal Agents	C0003308	D000935		https://doi.org/10.1002/1099-1026(200007/08)15:4<278::AID-FFJ913>3.0.CO;2-L
70	Zingiber officinale	rhizome	rhizome	Antifungal Agents	C0003308	D000935		https://doi.org/10.1002/ffj.1373
71	Zingiber officinale	rhizome	rhizome	antioxidant activity	C1148564	D000975		https://doi.org/10.1002/ffj.1373
72	Coriandrum sativum	seed	seed	antioxidant activity	C1148564	D000975		https://doi.org/10.1002/ffj.1608
73	Coriandrum sativum	seed	seed	Antifungal Agents	C0003308	D000935		https://doi.org/10.1002/ffj.1608
74	Curcuma longa	leaf	leaf	Antifungal Agents	C0003308	D000935		https://doi.org/10.1002/ffj.1780
75	Cymbopogon citratus	aerial part	aerial part	Antifungal Agents	C0003308	D000935		https://doi.org/10.1002/ffj.1835
76	Cymbopogon martini	whole plant	whole plant	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/10412905.2018.1429327
77	Lavandula bipinnata	leaf	leaf	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1016/j.foodchem.2009.05.032
78	Orthosiphon thymiflorus	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1016/S2221-1691(12)60139-7
79	Neolitsea fischeri	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/10412905.2008.9700012
80	Neolitsea fischeri	fruit	fruit	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/10412905.2008.9700012
81	Zingiber chrysanthum	seed	seed	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2019.1700828
82	Zingiber chrysanthum	seed	seed	Anti-Inflammatory Agents	C0003209	D000893		https://doi.org/10.1080/0972060X.2019.1700828
83	Zingiber chrysanthum	seed	seed	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2019.1700828
84	Cyathocline purpurea	root	root	Anti-Bacterial Agents	C0279516	D000900		https://pubmed.ncbi.nlm.nih.gov/23220198
85	Limonia acidissima	leaf	leaf	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1007/s12088-010-0052-7
86	Pleurospermum angelicoides	root	root	Antifungal Agents	C0003308	D000935		https://www.acgpubs.org/article/records-of-natural-products/2015/4-october-december/nothoapiole-and-asarone-rich-essential-oils-from-himalayan-pleurospermum-angelicoidesbenth
87	Pleurospermum angelicoides	flower	flower	Antifungal Agents	C0003308	D000935		https://www.acgpubs.org/article/records-of-natural-products/2015/4-october-december/nothoapiole-and-asarone-rich-essential-oils-from-himalayan-pleurospermum-angelicoidesbenth
88	Pleurospermum angelicoides	leaf	leaf	Antifungal Agents	C0003308	D000935		https://www.acgpubs.org/article/records-of-natural-products/2015/4-october-december/nothoapiole-and-asarone-rich-essential-oils-from-himalayan-pleurospermum-angelicoidesbenth
89	Pleurospermum angelicoides	flower	flower	antioxidant activity	C1148564	D000975		https://www.acgpubs.org/article/records-of-natural-products/2015/4-october-december/nothoapiole-and-asarone-rich-essential-oils-from-himalayan-pleurospermum-angelicoidesbenth
90	Pleurospermum angelicoides	root	root	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2020.1815592
91	Pamburus missionis	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://pubmed.ncbi.nlm.nih.gov/19375495
92	Ajuga integrifolia	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://www.scholarsresearchlibrary.com/articles/chemical-investigation-of-medicinal-plant-ajuga-bracteosa.pdf
93	Callicarpa macrophylla	aerial part	aerial part	antioxidant activity	C1148564	D000975		https://doi.org/10.3390/medicines4030052
94	Callicarpa macrophylla	aerial part	aerial part	Antipyretics	C0003419	D058633		https://doi.org/10.3390/medicines4030052
95	Clausena pentaphylla	seed	seed	Antifungal Agents	C0003308	D000935		https://doi.org/10.1002/jsfa.5949
96	Tetrataenium aquilegifolium	fruit	fruit	antioxidant activity	C1148564	D000975		https://doi.org/10.1515/znc-2010-11-1204
97	Boswellia ovalifoliolata	bark	bark	Anti-Inflammatory Agents	C0003209	D000893		https://doi.org/10.1007/s11676-017-0457-9
98	Boswellia ovalifoliolata	leaf	leaf	Anti-Inflammatory Agents	C0003209	D000893		https://doi.org/10.1007/s11676-017-0457-9
99	Limonia acidissima	leaf	leaf	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1177/1934578X1100600134
100	Erigeron multiradiatus	aerial part	aerial part	Antileishmanial	C4551467			https://doi.org/10.1021/acsomega.9b02130
101	Mikania micrantha	flower	flower	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1007/s11696-020-01077-6
102	Mikania micrantha	flower	flower	Antifungal Agents	C0003308	D000935		https://doi.org/10.1007/s11696-020-01077-6
103	Mikania micrantha	flower	flower	Anticancer agents			XM9F82	https://doi.org/10.1007/s11696-020-01077-6
104	Leptodermis lanceolata	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.19080/JPCR.2017.04.555630
105	Platycladus orientalis	leaf	leaf	Antifungal Agents	C0003308	D000935		https://doi.org/10.1515/znc-2008-3-409
106	Momordica charantia	seed	seed	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/0972060X.2020.1741451
107	Cananga odorata	leaf	leaf	Anticancer agents			XM9F82	https://doi.org/10.1080/0972060X.2021.1957023
108	Cananga odorata	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2021.1957023
109	Citrus limon	fruit	skin/peel	Anti-Inflammatory Agents	C0003209	D000893		https://pubmed.ncbi.nlm.nih.gov/29055721
110	Artemisia absinthium	leaf	leaf	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.3109/13880209.2013.768676
111	Plectranthus barbatus	aerial part	aerial part	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2021.1958701
112	Plectranthus barbatus	aerial part	aerial part	Anti-Inflammatory Agents	C0003209	D000893		https://doi.org/10.1080/0972060X.2021.1958701
113	Plectranthus barbatus	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2021.1958701
114	Plectranthus barbatus	aerial part	aerial part	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/0972060X.2021.1958701
115	Plectranthus barbatus	root	root	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/0972060X.2021.1958701
116	Plectranthus barbatus	root	root	Anti-Inflammatory Agents	C0003209	D000893		https://doi.org/10.1080/0972060X.2021.1958701
117	Plectranthus barbatus	root	root	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2021.1958701
118	Plectranthus barbatus	root	root	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/0972060X.2021.1958701
119	Melaleuca decora	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1177/1934578X0800301033
120	Melaleuca decora	leaf	leaf	Antifungal Agents	C0003308	D000935		https://doi.org/10.1177/1934578X0800301033
121	Torilis japonica	aerial part	aerial part	Antimicrobial activity function	C1321418	D000890		https://www.researchgate.net/profile/Geeta-Tewari/publication/315512314_Terpenoid_composition_and_antimicrobial_activity_of_essential_oil_from_Torilis_japonica_Houtt_DC/links/58d337edaca2723c0a777cb7/Terpenoid-composition-and-antimicrobial-activity-of-essential-oil-from-Torilis-japonica-Houtt-DC.pdf
122	Corymbia maculata	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/0972060X.2020.1729248
123	Syzygium gardneri	leaf	leaf	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/10412905.2008.9699426
124	Syzygium gardneri	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/10412905.2008.9699426
125	Bunium bulbocastanum	fruit	fruit	antioxidant activity	C1148564	D000975		https://doi.org/10.1002/jsfa.3824
126	Meistera cannicarpa	fruit	fruit	Anti-Bacterial Agents	C0279516	D000900		https://pubmed.ncbi.nlm.nih.gov/19839139
127	Meistera cannicarpa	fruit	fruit	Antifungal Agents	C0003308	D000935		https://pubmed.ncbi.nlm.nih.gov/19839139
128	Plectranthus hadiensis	seed	seed	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.25258/phyto.v9i2.8140
129	Pentacalia amplexicaulis	root	root	Antifungal Agents	C0003308	D000935		https://doi.org/10.1080/14786419.2015.1079910
130	Rhynchosia heynei	leaf	leaf	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.3109/13880200902991573
131	Nepeta elliptica	aerial part	aerial part	Antifungal Agents	C0003308	D000935		https://doi.org/10.1016/j.indcrop.2014.02.003
132	Citrus maxima	leaf	leaf	Antifungal Agents	C0003308	D000935		https://doi.org/10.22376/ijpbs.2017.8.2.p149-155
133	Decalepis hamiltonii	root	root	Antimicrobial activity function	C1321418	D000890		https://pubmed.ncbi.nlm.nih.gov/12009977
134	Woodfordia fruticosa	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://www.scholarsresearchlibrary.com/abstract/the-antimicrobial-activity-of-essential-oil-and-plant-extracts-of-woodfordia-fruticosa-9780.html
135	Coriaria nepalensis	leaf	leaf	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/14786419.2010.529545
136	Plectranthus mollis	aerial part	aerial part	Antimicrobial activity function	C1321418	D000890		https://pubmed.ncbi.nlm.nih.gov/25102628
137	Datura stramonium	leaf	leaf	Anti-Inflammatory Agents	C0003209	D000893		https://doi.org/10.1007/s13205-020-02438-4
138	Datura stramonium	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1007/s13205-020-02438-4
139	Datura stramonium	leaf	leaf	Immunomodulating Agents	C5544470	D000091369		https://doi.org/10.1007/s13205-020-02438-4
140	Nepeta hindostana	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/11263504.2018.1473301
141	Nepeta hindostana	stem	stem	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/11263504.2018.1473301
142	Nepeta hindostana	flower	flower	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/11263504.2018.1473301
