Sno	Plant name	Plant Part	Plant Subpart	Therapeutic use	UMLS identifier	MeSH identifier	ICD11 identifier	Reference
232	Pseudocaryopteris foetida	seed	seed	Anti-Inflammatory Agents	C0003209	D000893		http://op.niscpr.res.in/index.php/IJNPR/article/view/38172
233	Pseudocaryopteris foetida	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		http://op.niscpr.res.in/index.php/IJNPR/article/view/38172
234	Artemisia indica	aerial part	aerial part	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1016/j.foodchem.2012.10.102
235	Artemisia indica	aerial part	aerial part	Anticancer agents			XM9F82	https://doi.org/10.1016/j.foodchem.2012.10.102
236	Artemisia indica	aerial part	aerial part	antioxidant activity	C1148564	D000975		https://doi.org/10.1016/j.foodchem.2012.10.102
237	Limnophila indica	aerial part	aerial part	antioxidant activity	C1148564	D000975		https://www.phytojournal.com/archives/2019.v8.i1.7005/chemical-composition-ltemgtin-vitroltemgt-antioxidant-anti-inflammatory-and-antifeedant-properties-in-the-essential-oil-of-asian-marsh-weed-ltemgtlimnophila-indicaltemgt-l-druce
238	Limnophila indica	aerial part	aerial part	Anti-Inflammatory Agents	C0003209	D000893		https://www.phytojournal.com/archives/2019.v8.i1.7005/chemical-composition-ltemgtin-vitroltemgt-antioxidant-anti-inflammatory-and-antifeedant-properties-in-the-essential-oil-of-asian-marsh-weed-ltemgtlimnophila-indicaltemgt-l-druce
239	Annona squamosa	bark	bark	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1080/14786410500138823
240	Malus domestica	leaf	leaf	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1155/2012/649727
241	Malus domestica	leaf	leaf	Anti-Inflammatory Agents	C0003209	D000893		https://doi.org/10.1155/2012/649727
242	Malus domestica	leaf	leaf	Anticancer agents			XM9F82	https://doi.org/10.1155/2012/649727
243	Cinnamomum tamala	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/14786419.2012.668691
244	Pimenta dioica	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1080/14786419.2012.668691
245	Cotinus coggygria	leaf	leaf	antioxidant activity	C1148564	D000975		https://ijppr.com/volume8issue7/
246	Cotinus coggygria	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://ijppr.com/volume8issue7/
247	Tetrataenium rigens	seed	seed	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1177/1934578X1200700737
248	Heptapleurum venulosum	leaf	leaf	antioxidant activity	C1148564	D000975		https://doi.org/10.1007/s10600-021-03573-x
249	Chloroxylon swietenia	leaf	leaf	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1007/s11274-008-9693-7
250	Chloroxylon swietenia	leaf	leaf	Antifungal Agents	C0003308	D000935		https://doi.org/10.1007/s11274-008-9693-7
251	Anisomeles malabarica	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1016/S0975-3575(11)80026-X
252	Anisomeles indica	aerial part	aerial part	Anti-Bacterial Agents	C0279516	D000900		https://doi.org/10.1016/S0975-3575(11)80026-X
253	Myrica esculenta	bark	stem bark	Antimicrobial activity function	C1321418	D000890		https://doi.org/10.1080/14786419.2011.652959
254	Acorus calamus	rhizome	rhizome	Sedative mixed	C0036557	D006993	XM5YQ4	Vol-1, P-200, RIMP
255	Acorus calamus	rhizome	rhizome	Tranquilizing Agents	C0040614	D014149		Vol-1, P-200, RIMP
256	Acorus calamus	rhizome	rhizome	Adrenergic Antagonists	C0242889	D018674		Vol-1, P-201, RIMP
257	Acorus calamus	rhizome	rhizome	Antispasmodics	C0037766	D010276		Vol-1, P-204, RIMP
258	Acorus calamus	rhizome	rhizome	Anti-Bacterial Agents	C0279516	D000900		Vol-1, P-206, RIMP
260	Acorus calamus	rhizome	rhizome	Antinematodal Agents	C0003391			Vol-1, P-208, RIMP
261	Aegle marmelos	leaf	leaf	Antifungal Agents	C0003308	D000935		Vol-1, P-324, RIMP
262	Ageratum conyzoides	stem	stem	Antinematodal Agents	C0003391			Vol-1, P-382, RIMP
263	Ageratum conyzoides	leaf	leaf	Antinematodal Agents	C0003391			Vol-1, P-382, RIMP
