Sno	Plant name	Uses	Reference
117	Cymbopogon martini	Soaps, Flavouring (tobacco), Mouth fresheners, Perfumery industry, Cosmetics	https://doi.org/10.1080/10412905.2018.1429327
118	Orthosiphon thymiflorus	Pharmaceutical industry	https://doi.org/10.1016/S2221-1691(12)60139-7
119	Zingiber chrysanthum	Spices, Flavouring	https://doi.org/10.1080/10412905.1992.9698113
120	Zingiber montanum	flavouring (food), Medicine, Aromatherapy	https://doi.org/10.1021/acs.jafc.1c00256
121	Mikania micrantha	Pharmaceutical industry	https://doi.org/10.1007/s11696-020-01077-6
122	Cananga odorata	Pharmaceutical industry, Food industry	https://doi.org/10.1080/0972060X.2021.1957023
123	Lavandula gibsonii	Mosquito-repellent	https://doi.org/10.1007/s10340-013-0502-1
124	Decalepis arayalpathra	Flavour industry	https://doi.org/10.1080/14786419.2014.918127
125	Dysoxylum malabaricum	Flavouring, Food industry	https://doi.org/10.1007/s13196-011-0014-7
126	Cyclospermum leptophyllum	Flavour industry, Pharmaceutical industry, Cosmetic industry, Agricultural industry	https://doi.org/10.1080/22297928.2015.1090330
127	Litsea glutinosa	Shampoo preparation	https://doi.org/10.22159/IJPPS.2016V8I12.13577
128	Myristica fragrans	Perfumery industry, Naturopathy	https://updatepublishing.com/journal/index.php/josac/article/view/4888
129	Baccharoides anthelmintica	Food, Pharmaceutical industry, Cosmetics, Perfumery industry	https://doi.org/10.37021/ijper.v1i1.11
130	Citrus aurantifolia	Food, Pharmaceutical industry, Cosmetics, Perfumery industry	https://doi.org/10.37021/ijper.v1i1.11
131	Anethum graveolens	Soaps, Perfumes, flavouring (food), food seasoning, Pastries, sauces	https://www.jocpr.com/abstract/chemical-constituents-of-essential-oil-from-anethum-sowa-kurz-seed-2076.html
132	Anethum graveolens	Pharmaceuticals, flavouring	https://doi.org/10.1017/S1742758400020051
133	Caesulia axillaris	Perfumery, Flavouring industry	https://doi.org/10.1080/10412905.1993.9698192
134	Curcuma amada	Sweetmeats, Chutneys, Pickles	https://doi.org/10.1080/10412905.2001.9699608
135	Alpinia galanga	Perfumes, Pharmaceutical industry, Room sprays, Lotions, Cosmetics	https://doi.org/10.1080/10412905.2013.822430
136	Mesua ferrea	Soaps, Drugs	https://doi.org/10.1080/10412905.1998.9700955
137	Artemisia gmelinii	Soaps, Detergents, Cosmetics, Perfumes, Aromatherapy	https://doi.org/10.1080/10412905.2014.987927
138	Artemisia maritima	Soaps, Detergents, Cosmetics, Perfumes, Aromatherapy	https://doi.org/10.1080/10412905.2014.987927
139	Artemisia roxburghiana	Soaps, Detergents, Cosmetics, Perfumes, Aromatherapy	https://doi.org/10.1080/10412905.2014.987927
140	Pogostemon cablin	Aromatherapy, deodorant	https://doi.org/10.1080/10412905.2009.9700152
141	Rhododendron lepidotum	Perfumes, Incense	https://doi.org/10.1080/10412905.2011.9712277
142	Alpinia galanga	Perfumery, Lotions, Cosmetics, Pharmaceutical industry, Spices, flavouring (food)	https://doi.org/10.1080/10412905.2012.751058
143	Saussurea costus	Flavour industry, Pharmaceutical industry, Anticancer drug	https://pubmed.ncbi.nlm.nih.gov/23901213
144	Curcuma aeruginosa	Pharmaceutical industry, Flavour industry	https://doi.org/10.1016/j.indcrop.2014.06.028
145	Curcuma aromatica	Pharmaceutical industry, Flavour industry	https://doi.org/10.1016/j.indcrop.2014.06.028
146	Curcuma caesia	Pharmaceutical industry, Flavour industry	https://doi.org/10.1016/j.indcrop.2014.06.028
147	Curcuma zedoaria	Pharmaceutical industry, Flavour industry	https://doi.org/10.1016/j.indcrop.2014.06.028
148	Thuja occidentalis	Perfumes, Shoe polishes, Soaps	https://doi.org/10.1080/0972060X.2014.884774
149	Eucalyptus tereticornis	Pharmaceutical industry, Food, Flavouring, Perfumery industry	https://doi.org/10.1080/17429145.2010.539709
150	Strobilanthes auriculatus	Perfumery industry	https://doi.org/10.1002/jlac.198719870105
151	Chloroxylon swietenia	Medicine	https://doi.org/10.1007/s11274-008-9693-7
152	Artemisia pallens	Flavouring (tobacco), Cakes, Pastries, Beverages, Perfumes	https://doi.org/10.1021/jf980624c
