Sno	Plant name	Plant Part	Plant Subpart	Odor	Color	Reference
174	Nepeta hindostana	aerial part	aerial part		Pale yellow	https://acgpubs.org/article/records-of-natural-products/2015/2-april-june/chemical-composition-antioxidant-and-antimicrobial-activities-of-the-essential-oil-of-nepeta-hindostana-roth-haines-from-india
175	Inula racemosa	root	root		Dark brown	https://doi.org/10.1016/S0031-9422(00)83760-7
176	Atalantia monophylla	leaf	leaf	citrus	Yellow	https://doi.org/10.4103/0974-8490.152009
177	Piliostigma malabaricum	leaf	leaf	pungent	light greenish yellow	https://doi.org/10.14233/ajchem.2014.15654
178	Bauhinia purpurea	leaf	leaf	pungent	light greenish yellow	https://doi.org/10.14233/ajchem.2014.15654
179	Bauhinia tomentosa	leaf	leaf	pungent	light greenish yellow	https://doi.org/10.14233/ajchem.2014.15654
180	Bergenia stracheyi	rhizome	rhizome	pungent	Colourless	https://doi.org/10.22270/JDDT.V7I1.1365
181	Cipadessa baccifera	leaf	leaf		Pale yellow	https://doi.org/10.13040/IJPSR.0975-8232.7(1).392-96
182	Clerodendrum phlomidis	leaf	leaf		Pale yellow	https://www.researchgate.net/publication/280231470_IDENTIFICATION_OF_CONSTITUENTS_OF_THE_ESSENTIAL_OIL_ISOLATED_FROM_LEAVES_OF_CLERODENDRUM_PHLOMIDIS_LINN_BY_GC-MS
183	Dysoxylum malabaricum	wood	wood		Light yellow	https://doi.org/10.1007/s13196-011-0014-7
184	Pentanema indicum	leaf	leaf		Dark yellowish green	https://doi.org/10.3923/JPT.2006.134.138
185	Heynea trijuga	root	root		Pale yellow	http://asianjtm.syphu.edu.cn/EN/Y2010/V5/I5/199
186	Baccharoides anthelmintica	seed	seed		Greenish yellow	https://doi.org/10.37021/ijper.v1i1.11
187	Citrus aurantifolia	fruit	skin/peel		Yellow	https://doi.org/10.37021/ijper.v1i1.11
188	Annona muricata	bark	bark	leather-herbal	Moderate yellow	https://doi.org/10.1080/0972060X.2021.1981160
189	Annona muricata	leaf	leaf	pleasant, herbal	Strong Greenish yellow	https://doi.org/10.1080/0972060X.2021.1981160
190	Annona muricata	fruit	skin/peel	herbal, fruity	Brilliant yellow-green	https://doi.org/10.1080/0972060X.2021.1981160
191	Annona muricata	root	root	woody, earthy	light orange yellow	https://doi.org/10.1080/0972060X.2021.1981160
192	Annona muricata	seed	seed	spices, rancid	Moderate orange	https://doi.org/10.1080/0972060X.2021.1981160
193	Anisomeles indica	leaf	leaf	pungent, camphor	Yellowish brown	https://doi.org/10.1016/j.bse.2011.12.017
194	Anethum graveolens	seed	seed	pleasant, aromatic, lemon, orange, dill	Pale yellow	https://www.jocpr.com/abstract/chemical-constituents-of-essential-oil-from-anethum-sowa-kurz-seed-2076.html
195	Anisomeles indica	leaf	leaf		Yellowish brown	https://doi.org/10.5897/2013.2580
196	Gymnacranthera canarica	leaf	leaf	pleasant	Yellow	https://doi.org/10.1080/10412905.2007.9699293
197	Myristica malabarica	leaf	leaf	pleasant	Pale yellow	https://doi.org/10.1080/10412905.2007.9699293
198	Caesulia axillaris	leaf	leaf	aromatic, spices	Pale yellow	https://doi.org/10.1080/10412905.1993.9698192
199	Curcuma amada	rhizome	rhizome	sweet, bitter	Greenish yellow	https://doi.org/10.1080/10412905.2005.9698974
200	Mesua ferrea	stem	bud	pleasant	Dark brown	https://doi.org/10.1080/10412905.1998.9700955
201	Mesua ferrea	flower	flower	pleasant	Dark brown	https://doi.org/10.1080/10412905.1998.9700955
202	Mesua ferrea	leaf	leaf		Colourless	https://doi.org/10.1080/10412905.1998.9700955
203	Isodon melissoides	aerial part	aerial part		Yellowish brown	https://doi.org/10.1080/10412905.2005.9698895
204	Litsea monopetala	flower	flower		Light yellow	https://doi.org/10.1080/10412905.1997.9700802
205	Chloroxylon swietenia	leaf	leaf	pungent	Pale yellow	https://doi.org/10.1080/10412905.2013.782472
206	Cinnamomum bejolghota	leaf	leaf		Pale yellow	https://doi.org/10.1080/10412905.1997.9699472
207	Cinnamomum bejolghota	flower	inflorescence		Colourless	https://doi.org/10.1080/10412905.1997.9699472
208	Cinnamomum bejolghota	bark	stem bark		Pale yellow	https://doi.org/10.1080/10412905.1997.9699472
209	Pleiospermium alatum	leaf	leaf		green	https://doi.org/10.1080/10412905.2011.9712273
